incident_id,date,description,city,state,location,attack_type,ideology,group,case_number,heat_map_id,source,processed_date,predicted_term,predicted_term_machine,confidence,base_similarity,frequency_in_training,related_terms,method,secondary_matches,manual_term,is_correct,confidence_level,year,month,quarter,description_short
63641,2024-01-01,"An individual called a Jewish teenager, ""Stupid bitch"" and said, ""You're a baby killer, terrorist. Go back to Israel"" at Venice Beach.",Los Angeles,California,"Los Angeles, California",Antisemitic Incident: Harassment,,,116922,63641,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.5476458314259847,0.5473124980926514,0,[],graph_enhanced,"[{'term': 'Zionazi', 'score': 0.5073195695877075}, {'term': 'Sayfullo Saipov', 'score': 0.4852745234966278}]",Antisemitism,0,Medium,2024,1,1,"An individual called a Jewish teenager, ""Stupid bitch"" and said, ""You're a baby killer, terrorist. Go back to Israel"" at Venice Beach."
63680,2024-01-02,A synagogue received an antisemitic bomb threat. (This incident represents one of nine synagogues targeted that day).,Los Angeles,California,"Los Angeles, California",Antisemitic Incident: Harassment,,,116924,63680,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6974559707641601,0.6304559707641602,0,[],graph_enhanced,"[{'term': 'Pittsburgh synagogue shooting', 'score': 0.6101460456848145}, {'term': 'Colleyville Synagogue Attack', 'score': 0.6029130816459656}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of nine synagogues targeted that day).
63449,2024-01-02,A synagogue received an antisemitic bomb threat.,Long Beach,California,"Long Beach, California",Antisemitic Incident: Harassment,,,116927,63449,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63704,2024-01-02,A synagogue received an antisemitic bomb threat.,Irvine,California,"Irvine, California",Antisemitic Incident: Harassment,,,116926,63704,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63610,2024-01-02,A synagogue received an antisemitic bomb threat.,Fountain Valley,California,"Fountain Valley, California",Antisemitic Incident: Harassment,,,116929,63610,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63893,2024-01-02,A synagogue received an antisemitic bomb threat. (This incident represents one of nine synagogues targeted that day).,Los Angeles,California,"Los Angeles, California",Antisemitic Incident: Harassment,,,116989,63893,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6974559707641601,0.6304559707641602,0,[],graph_enhanced,"[{'term': 'Pittsburgh synagogue shooting', 'score': 0.6101460456848145}, {'term': 'Colleyville Synagogue Attack', 'score': 0.6029130816459656}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of nine synagogues targeted that day).
63847,2024-01-02,Swastikas were painted on an abandoned building.,Boston,Massachusetts,"Boston, Massachusetts",Antisemitic Incident: Vandalism,,,117055,63847,raw,2025-12-16,Burning Neo-Nazi Symbols,Numbers / Symbols,0.5409974419275919,0.5073307752609253,0,[],graph_enhanced,"[{'term': 'Swastika', 'score': 0.47608324885368347}, {'term': 'Silent Aryan Warriors', 'score': 0.43323183059692383}]",Antisemitism,0,Medium,2024,1,1,Swastikas were painted on an abandoned building.
63442,2024-01-02,"Individuals associated with the antisemitic Goyim Defense League mailed antisemitic fliers to a news outlet that read: ""Every single aspect of 9 11 is Jewish"" and ""Every single aspect of the Ukraine-Russia war is Jewish.""",Homer,Alaska,"Homer, Alaska",Antisemitic Incident: Harassment,,Goyim Defense League (GDL),117059,63442,raw,2025-12-16,Da Goyim Know,Slogans / Code words,0.6073684337933858,0.6070351004600525,0,[],graph_enhanced,"[{'term': 'Israel Shamir', 'score': 0.5973213911056519}, {'term': 'Goyim Defense League', 'score': 0.5957039594650269}]",Antisemitism,0,Medium,2024,1,1,"Individuals associated with the antisemitic Goyim Defense League mailed antisemitic fliers to a news outlet that read: ""Every single aspect of 9 11 is Jewish"" and ""Every single aspect of the Ukraine-Russia war is Jewish."""
63743,2024-01-02,"A synagogue received an antisemitic and anti-Zionist letter in the mail. The letter read in part: ""The Jewish state of Israel is DRENCHED in the blood of the Palestinian people and shows the world what kind of people the Jews are--and what kind of religion Judaism is.""",Burlington,Vermont,"Burlington, Vermont",Antisemitic Incident: Harassment,,,117061,63743,raw,2025-12-16,Zionazi,Slogans / Code words,0.6064608338673909,0.6061275005340576,0,[],graph_enhanced,"[{'term': 'Israel Shamir', 'score': 0.5598220825195312}, {'term': 'Jewish Supremacism: My Awakening on the Jewish Question', 'score': 0.5498250126838684}]",Antisemitism,0,Medium,2024,1,1,"A synagogue received an antisemitic and anti-Zionist letter in the mail. The letter read in part: ""The Jewish state of Israel is DRENCHED in the blood of the Palestinian people and shows the world what kind of people the Jews are--and what kind of religion Judaism is."""
63485,2024-01-03,A swastika was painted on the ground underneath an overpass.,Bethesda,Maryland,"Bethesda, Maryland",Antisemitic Incident: Vandalism,,,117068,63485,raw,2025-12-16,Swastika,Numbers / Symbols,0.5796704573631286,0.5126704573631287,0,[],graph_enhanced,"[{'term': 'Burning Neo-Nazi Symbols', 'score': 0.47262006998062134}, {'term': 'SS Hand Sign Symbol', 'score': 0.4530119001865387}]",Antisemitism,0,Medium,2024,1,1,A swastika was painted on the ground underneath an overpass.
63727,2024-01-03,A synagogue received an antisemitic bomb threat.,Winston-Salem,North Carolina,"Winston-Salem, North Carolina",Antisemitic Incident: Harassment,,,117071,63727,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63591,2024-01-03,"Individuals associated with the antisemitic Goyim Defense League placed antisemitic propaganda on parked cars, including posters that read: ""The Jewish Media is full of lies.""",Chicago,Illinois,"Chicago, Illinois",Antisemitic Incident: Harassment,,Goyim Defense League (GDL),117082,63591,raw,2025-12-16,Da Goyim Know,Slogans / Code words,0.6550775133768717,0.6214108467102051,0,[],graph_enhanced,"[{'term': 'Goyim Defense League', 'score': 0.6118982434272766}, {'term': 'Zionazi', 'score': 0.5606111884117126}]",Antisemitism,0,Medium,2024,1,1,"Individuals associated with the antisemitic Goyim Defense League placed antisemitic propaganda on parked cars, including posters that read: ""The Jewish Media is full of lies."""
63919,2024-01-03,A synagogue received an antisemitic bomb threat.,Kalamazoo,Michigan,"Kalamazoo, Michigan",Antisemitic Incident: Harassment,,,117086,63919,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63584,2024-01-02,A synagogue received an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,San Diego,California,"San Diego, California",Antisemitic Incident: Harassment,,,117080,63584,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6633868498802185,0.5963868498802185,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.5767678618431091}, {'term': 'Pittsburgh synagogue shooting', 'score': 0.5678931474685669}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).
63798,2024-01-02,A synagogue received an antisemitic bomb threat.,Poway,California,"Poway, California",Antisemitic Incident: Harassment,,,117088,63798,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63568,2024-01-02,A synagogue received an antisemitic bomb threat.,Cardiff By The Sea,California,"Cardiff By The Sea, California",Antisemitic Incident: Harassment,,,117090,63568,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63553,2024-01-03,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,West Bloomfield,Michigan,"West Bloomfield, Michigan",Antisemitic Incident: Harassment,,,117097,63553,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6615975184440612,0.5945975184440613,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.5779655575752258}, {'term': 'Pittsburgh synagogue shooting', 'score': 0.5667634010314941}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).
63645,2024-01-02,A synagogue received an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).,San Diego,California,"San Diego, California",Antisemitic Incident: Harassment,,,117092,63645,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6633868498802185,0.5963868498802185,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.5767678618431091}, {'term': 'Pittsburgh synagogue shooting', 'score': 0.5678931474685669}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of two synagogues targeted in a day).
63886,2024-01-03,A synagogue received an antisemitic bomb threat.,Bay City,Michigan,"Bay City, Michigan",Antisemitic Incident: Harassment,,,117093,63886,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63612,2024-01-03,A synagogue received an antisemitic bomb threat.,Petoskey,Michigan,"Petoskey, Michigan",Antisemitic Incident: Harassment,,,117094,63612,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63906,2024-01-03,A synagogue received an antisemitic bomb threat.,Grand Rapids,Michigan,"Grand Rapids, Michigan",Antisemitic Incident: Harassment,,,117098,63906,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63601,2024-01-03,A synagogue received an antisemitic bomb threat.,East Lansing,Michigan,"East Lansing, Michigan",Antisemitic Incident: Harassment,,,117096,63601,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63496,2024-01-03,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,West Bloomfield,Michigan,"West Bloomfield, Michigan",Antisemitic Incident: Harassment,,,117105,63496,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6615975184440612,0.5945975184440613,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.5779655575752258}, {'term': 'Pittsburgh synagogue shooting', 'score': 0.5667634010314941}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).
63770,2024-01-03,A synagogue received an antisemitic bomb threat.,Jackson,Michigan,"Jackson, Michigan",Antisemitic Incident: Harassment,,,117099,63770,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.554411614259084,0.5540782809257507,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337990522384644}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63448,2024-01-03,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,West Bloomfield,Michigan,"West Bloomfield, Michigan",Antisemitic Incident: Harassment,,,117102,63448,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6615975184440612,0.5945975184440613,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.5779655575752258}, {'term': 'Pittsburgh synagogue shooting', 'score': 0.5667634010314941}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).
63833,2024-01-03,A synagogue received an antisemitic bomb threat.,Davidson,North Carolina,"Davidson, North Carolina",Antisemitic Incident: Harassment,,,117103,63833,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
55026,2023-12-31,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,Houston,Texas,"Houston, Texas",Antisemitic Incident: Harassment,,,117423,55026,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6986280961036682,0.6316280961036682,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.603920578956604}, {'term': 'Operation Kristallnacht', 'score': 0.5955498218536377}]",Antisemitism,0,Medium,2023,12,4,A synagogue was targeted with an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).
63750,2024-01-02,A synagogue received an antisemitic bomb threat.,Carlsbad,California,"Carlsbad, California",Antisemitic Incident: Harassment,,,117159,63750,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
54426,2023-12-31,An individual vandalized the building of a Jewish museum.,San Francisco,California,"San Francisco, California",Antisemitic Incident: Vandalism,,,118443,54426,raw,2025-12-16,James von Brunn,People,0.4298775437672933,0.4295442104339599,0,[],graph_enhanced,"[{'term': 'Antisemitism', 'score': 0.3436294496059418}, {'term': 'Operation Kristallnacht', 'score': 0.3367416262626648}]",Antisemitism,0,Low,2023,12,4,An individual vandalized the building of a Jewish museum.
63684,2024-01-02,A synagogue received an antisemitic bomb threat.,Pomona,California,"Pomona, California",Antisemitic Incident: Harassment,,,119512,63684,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63912,2024-01-04,"""Death to Zionists"" was spray-painted on a pedestrian ramp.",Washington,Washington D.C.,"Washington, Washington D.C.",Antisemitic Incident: Vandalism,,,119515,63912,raw,2025-12-16,Zionazi,Slogans / Code words,0.6420086585680643,0.6083419919013977,0,[],graph_enhanced,"[{'term': 'Da Goyim Know', 'score': 0.5285640954971313}, {'term': 'Sayfullo Saipov', 'score': 0.5208539962768555}]",Antisemitism,0,Medium,2024,1,1,"""Death to Zionists"" was spray-painted on a pedestrian ramp."
63487,2024-01-03,"An individual responded to a social media post by a Jewish day school by commenting ""Baby killers"" and ""Hunt down all jews sic throughout the world and eradicate them once and forever.""",Rockville,Maryland,"Rockville, Maryland",Antisemitic Incident: Harassment,,,119516,63487,raw,2025-12-16,Stop Zionist Hate,Groups / Movements,0.5468359235127767,0.5465025901794434,0,[],graph_enhanced,"[{'term': 'Jewish Supremacism: My Awakening on the Jewish Question', 'score': 0.5134668946266174}, {'term': '((()))', 'score': 0.4900878071784973}]",Antisemitism,0,Medium,2024,1,1,"An individual responded to a social media post by a Jewish day school by commenting ""Baby killers"" and ""Hunt down all jews sic throughout the world and eradicate them once and forever."""
55018,2023-12-31,A synagogue was targeted with an antisemitic bomb threat.,Beaumont,Texas,"Beaumont, Texas",Antisemitic Incident: Harassment,,,119518,55018,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6677552742958068,0.6007552742958069,0,[],graph_enhanced,"[{'term': 'Operation Kristallnacht', 'score': 0.5907952785491943}, {'term': 'Colleyville Synagogue Attack', 'score': 0.579047679901123}]",Antisemitism,0,Medium,2023,12,4,A synagogue was targeted with an antisemitic bomb threat.
63552,2024-01-03,"A synagogue received a phone call from an individual who said, ""You're next,"" then hung up.",Wantagh,New York,"Wantagh, New York",Antisemitic Incident: Harassment,,,119526,63552,raw,2025-12-16,Synagogue of Satan,"Slogans / Code words, Key Concepts / Definitions",0.4508320930798848,0.4504987597465515,0,[],graph_enhanced,"[{'term': 'The Final Call', 'score': 0.43391093611717224}, {'term': 'Jew coup', 'score': 0.4237856864929199}]",Antisemitism,0,Low,2024,1,1,"A synagogue received a phone call from an individual who said, ""You're next,"" then hung up."
63923,2024-01-04,A swastika was drawn on the cover of a textbook at a middle school.,Lenox,Massachusetts,"Lenox, Massachusetts",Antisemitic Incident: Vandalism,,,119531,63923,raw,2025-12-16,Swastika,Numbers / Symbols,0.6545445008277893,0.5875445008277893,0,[],graph_enhanced,"[{'term': 'Burning Neo-Nazi Symbols', 'score': 0.49539774656295776}, {'term': 'Syringe Swastika', 'score': 0.4666648209095001}]",Antisemitism,0,Medium,2024,1,1,A swastika was drawn on the cover of a textbook at a middle school.
63444,2024-01-04,"Graffiti was found at a street corner that read: ""Free Palestine,"" ""Fuck Jew"" and ""Jews Are Nazis.""",Los Angeles,California,"Los Angeles, California",Antisemitic Incident: Vandalism,,,119533,63444,raw,2025-12-16,Zionazi,Slogans / Code words,0.6323329491615295,0.5653329491615295,0,[],graph_enhanced,"[{'term': 'Da Goyim Know', 'score': 0.5583272576332092}, {'term': 'Open borders for Israel', 'score': 0.5308220982551575}]",Antisemitism,0,Medium,2024,1,1,"Graffiti was found at a street corner that read: ""Free Palestine,"" ""Fuck Jew"" and ""Jews Are Nazis."""
63497,2024-01-03,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).,Charlotte,North Carolina,"Charlotte, North Carolina",Antisemitic Incident: Harassment,,,119536,63497,raw,2025-12-16,Jersey City Kosher Market Shooting,Incidents / Events,0.6615975184440612,0.5945975184440613,0,[],graph_enhanced,"[{'term': 'Colleyville Synagogue Attack', 'score': 0.5779655575752258}, {'term': 'Pittsburgh synagogue shooting', 'score': 0.5667634010314941}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat. (This incident represents one of three synagogues targeted in a day).
63845,2024-01-02,A synagogue received an antisemitic bomb threat.,Fresno,California,"Fresno, California",Antisemitic Incident: Harassment,,,119548,63845,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
63920,2024-01-04,A swastika was drawn on a desk at an elementary school.,Portland,Oregon,"Portland, Oregon",Antisemitic Incident: Vandalism,,,119545,63920,raw,2025-12-16,Swastika,Numbers / Symbols,0.6106038374900817,0.5436038374900818,0,[],graph_enhanced,"[{'term': 'Burning Neo-Nazi Symbols', 'score': 0.45494282245635986}, {'term': 'Sturmabteilung Symbol', 'score': 0.43537449836730957}]",Antisemitism,0,Medium,2024,1,1,A swastika was drawn on a desk at an elementary school.
63609,2024-01-02,A synagogue received an antisemitic bomb threat.,Ventura,California,"Ventura, California",Antisemitic Incident: Harassment,,,119555,63609,raw,2025-12-16,Antisemitism,Key Concepts / Definitions,0.5544114950497945,0.5540781617164612,0,[],graph_enhanced,"[{'term': 'Synagogue of Satan', 'score': 0.5337991118431091}, {'term': 'Operation Kristallnacht', 'score': 0.5302023887634277}]",Antisemitism,0,Medium,2024,1,1,A synagogue received an antisemitic bomb threat.
